,message,timestamp,username,m_length,datetime
994,"
Day #1
1. Completed the last three clips in lesson 5, learned the concept of global privacy and to add noise in the output function. Coded along the project (create a differentially private query). Will revisit the concepts again on the weekend.
2. Teamed up with a community member and we might do a group project together. Although we are all beginners in this field, we will ace it 
",06/28/2019 2:44 a.m.,jule.akimoto,387,2019-06-28 02:44:00
995,"
Day 1: Pledge Taken for #60daysofudacity.
Wrote hand notes for lesson 1
",06/28/2019 2:48 a.m.,jessie_lee_dn,73,2019-06-28 02:48:00
996,"
Day 1:
======
1. I took the pledge 
2. I try to understand how Pysyft work
3. I try to understand lesson 6 federated learning
4. I'm trying to see how to implement pytorch + pysyft in raspbery pi3B
Try to understand How to setup PySyft on a Raspberry PIhttps://blog.openmined.org/federated-learning-of-a-rnn-on-raspberry-pis/In this article, you are going to learn how to setup PySyft on a Raspberry PI and how to train a Recurrent Neural Network in a federated way.Written byDaniele GadlerFiled underFederated Learning, Deep Learning, PySyft, PyTorch, Tutorials, Machine Learning, Raspberry PI, Private ML, Neural networks
",06/28/2019 2:49 a.m.,mcb_13,625,2019-06-28 02:49:00
997,"
Took the pledge
talked with @roehrl.verena about our progress, our further goals and about forming a study group
",06/28/2019 2:50 a.m.,meijoker-udacity,114,2019-06-28 02:50:00
998,"
@roehrl.verena has joined the channel
",06/28/2019 2:50 a.m.,roehrl.verena,39,2019-06-28 02:50:00
999,"
Day 1
Step 1:Pledge taken
Step 3: For this day, I could completed the toy federated learning video.
We have training data on different machines and we move the model to the data instead of moving the data to the model as we are often to do.
For this I inspected the code written by the instructor.
Step 4:  I encourage @fm_merouani and @m.naas to follow this path.
",06/28/2019 2:50 a.m.,ynawal,366,2019-06-28 02:50:00
1000,"
Day 1Pledge Taken
Completed Lesson 4
Reading this article  to aid in more understanding

",06/28/2019 2:53 a.m.,lordprecious1,90,2019-06-28 02:53:00
1001,"
pytorch + pysyft in raspbery pi3B ??  update us 
",06/28/2019 2:54 a.m.,george.christ1987,50,2019-06-28 02:54:00
1002,"
@george.christ1987 when I figure out how to do it, I'd be happy to tell you.
",06/28/2019 2:58 a.m.,mcb_13,78,2019-06-28 02:58:00
1003,"
#60daysofudacity
Day 1/60
1. Pledged 
2. Revised Lesson 2 Deep Learning with Pytorch
3. Working on Project 2 Dog-Breed Classifier for DLND 
4. Revising the basics of Data Structure and Algorithms in Python for my Interview tomorrow. 
Good luck and encouragement to @pratikthakare65@terwey2012@bharati.frnds@casabiancadenny
",06/28/2019 2:59 a.m.,kshntn,324,2019-06-28 02:59:00
1004,"
@pratikthakare65 has joined the channel
",06/28/2019 2:59 a.m.,pratikthakare65,41,2019-06-28 02:59:00
1005,"
Day 1
Took the pledge
talked with @meijoker-udacity about our progress in the scholarship, further goals and decided to form a study group
",06/28/2019 3 a.m.,roehrl.verena,140,2019-06-28 03:00:00
1006,"
Hey @edgarinvillegas I did joined, I wonder if you want to form a study group?
",06/28/2019 3:04 a.m.,sdandersonz,80,2019-06-28 03:04:00
1007,"
Day 1
1. I took the pledge
2. Completed Lesson 3 on Differential Privacy
3. Joined a Study Group for the #60daysofudacity challenge
4.  Will like to encourage @anjumercian85@soumilk.k@sanskriti.bajaj98 to join me make they pledge( if you havent already  ).@manishajhunjhunwala7 thanks for the encouragement.  Let's do this :hero:
",06/28/2019 3:11 a.m.,ivolinengong,331,2019-06-28 03:11:00
1008,"
Day 1
1. Took the pledge
2. Revised Lesson 3 Introducing differential privacy
3. Revised Lesson 4 Evaluating the privacy of a functuon
",06/28/2019 3:18 a.m.,kgw8829,136,2019-06-28 03:18:00
1009,"
*Day 1/60!*
1. Pledged
2. Started working on Secure Federated Learning final project for nearly an hour. It is an interesting challenge, I am really addicted to work in it!
3. I will continue tomorrow working. I want to finish the course this week!
",06/28/2019 3:21 a.m.,defuzah,250,2019-06-28 03:21:00
1010,"
Day 1
1. Took the pledge
2. Attended Udacity Talk - Why Digital Transformation Requires a People-First Strategy
3. Completed tutorial on D3.js for data visualisations.@elena.lestini@cioloboc.florin@rachaelsaxby Hi guys, are you joining in the fun :bananadance::bananadance:
",06/28/2019 3:22 a.m.,paul.stancliffe,275,2019-06-28 03:22:00
1011,"
:thank-you: and good luck for tomorrow @kshntn!
",06/28/2019 3:23 a.m.,terwey2012,49,2019-06-28 03:23:00
1012,"
@quratfatima581 thanks for the encouragement , Will start too
",06/28/2019 3:25 a.m.,munniomer,63,2019-06-28 03:25:00
1013,"
Day 1/60
",06/28/2019 3:25 a.m.,18sika,10,2019-06-28 03:25:00
1014,"
*Day 1*
1. Took the #60daysofudacity pledge
2. Learned about various convolutional filters for edge detection using OpenCV(Hough transform, Canny Edge detector, Haar Cascades, etc.)
3. Reviewed the Differential Privacy Deep Learning lessons.
",06/28/2019 3:31 a.m.,gfredtech,243,2019-06-28 03:31:00
1015,"
Day 1/60
-Took the pledge
-Did a video/exercise of Lesson 1
",06/28/2019 3:36 a.m.,viktorepo,61,2019-06-28 03:36:00
1016,"
Day 1/60 (6/27/2019)
Step 1: pledge made 6/27/2019
Step 2:
(1) Worked my way through Lesson 5, videos 7 and 8 and associated notebook exercises.
(3) Project T-Shirt initiated!
Step 3: hello world!
Step 4: Shout-out to my #60daysofUdacity friends! You got this!@anjumercian85@khandelwalcibaca@lexie@agbugbaijeoma@dushyantpathak6789
",06/28/2019 3:46 a.m.,ewotawa,332,2019-06-28 03:46:00
1017,"
Day 1
1. Took the pledge
2. Revised Lesson 4 Evaluating the privacy of a functuon
",06/28/2019 3:49 a.m.,alaaemadhossney.ae,83,2019-06-28 03:49:00
1018,"
Day 1. Took the pledge. Coded in React, VBA, and SQL. Attended part of a AWSome day before I got sick.
",06/28/2019 3:50 a.m.,madison.estabrook,104,2019-06-28 03:50:00
1019,"
keep going :clapping: :skin-tone-2:
 
Great, keep going :skin-tone-2:
",06/28/2019 3:52 a.m.,alaaemadhossney.ae,71,2019-06-28 03:52:00
1020,"
Feel better soon @madison.estabrook And wow many activities, well done :star-struck: React is on my wishlist also 
",06/28/2019 3:55 a.m.,sarahhelena.barmer,116,2019-06-28 03:55:00
1021,"
Great , Keep going :clapping:
",06/28/2019 3:55 a.m.,alaaemadhossney.ae,31,2019-06-28 03:55:00
1022,"
Day 1: * Took the Pledge (@ayeshamanzur123 thanks for the invite/encouragement)  * Approached the Government Innovations Lab in my area asking whether I can do a presentation during their Lunch and Learn session (on a topic related to this course )  *thinking about a good project to make the most of this course. *Working on Python code refactoring (from long to wide form  transformation, columnar storage). I am inviting @george.christ1987@houdskad@nabhu123@hannaninabilah@erjcan@gabi29@thegame4020
",06/28/2019 4:12 a.m.,suraiya.uvic,503,2019-06-28 04:12:00
1023,"
Day 1:
Took the pledge
Resumed Lesson 4 and understood the difference between Data Conditioned sensitivity and Non-Data Conditioned sensitivity. Where the major difference lied in the fact that the later is based on the function applied and the potential range of the data and the former is based on the values in the database.
Spent a considerable amount of time trying to figure out the Differencing Attack project.
Started with Lesson 5. Got introduced to the concept Local and Global Differential privacy and the importance of noise.
I would love to group up with someone who is interested in forming a group. Thanks.
",06/28/2019 4:13 a.m.,stwtdey1,623,2019-06-28 04:13:00
1024,"
Thanks  @suraiya.uvic I am already here 
",06/28/2019 4:17 a.m.,george.christ1987,42,2019-06-28 04:17:00
1025,"
*Day 1* --->
(1) I took the 60 days challenge pledge
(2) discussed about the project I will like to work on with few others
 
(3) I tried deploying one of the model using flask
",06/28/2019 4:25 a.m.,vincycode7,178,2019-06-28 04:25:00
1026,"
#60daysofudacity Day #1:
1. Pledged to the cause!
2. Today I spent two hours working on the Single Layer Neural Network Solutions in Lesson 2.
3. I intend to complete Lesson 2 tomorrow.
Cheers!
cc: @eazydammy
",06/28/2019 4:30 a.m.,swiftestherduro,210,2019-06-28 04:30:00
1027,"
Day 1:
1. I took the #60daysofudacity pledge
2. I spent over 2hrs on my Udacity classroom and started the Secure & Private AI challenge course afresh and finished lessons 1 and 2 completing the intro to PyTorch notebooks.
3. I started a 30 days of python course and completed day 1 and 2 to refresh my python programming skills from https://www.codingforentrepreneurs.com/projects/30-days-python
",06/28/2019 4:33 a.m.,meajagun,397,2019-06-28 04:33:00
1028,"
Great, keep going :skin-tone-2:
",06/28/2019 4:40 a.m.,alaaemadhossney.ae,33,2019-06-28 04:40:00
1029,"
*Day 1/60*
-Took the pledge
-Completed Lesson 3 
",06/28/2019 4:50 a.m.,almaari.eman,50,2019-06-28 04:50:00
1030,"
Pledged!
 
Day 1:
 
1. Graduated from NLP nanodegree in Udacity
 
2. Attended a data visualisation meetup on ""Telling Story with Data - Data Visualisation for Journalists""
",06/28/2019 5 a.m.,susanwangds,173,2019-06-28 05:00:00
1031,"
Thanks @sarahhelena.barmer. Took the pledge and encourage @singmin_92@fabiana.clmnt  to do so too
",06/28/2019 5:11 a.m.,rozamiera,99,2019-06-28 05:11:00
1032,"
Day 1 #60daysofudacity :
1. Took the Pledge
2. Finished lesson 6 lectures and project
3. Create an LSTM model of word sequence generator for a fashion project.
",06/28/2019 5:20 a.m.,alegalindo-101,161,2019-06-28 05:20:00
1033,"
Day 1:
1- Took a Numpy refresher
2- Revising Lesson 2 ""Deep Learning with PyTorch""
3- Exploring secure and private AI based projects ideas
Warming up :man-walking:
",06/28/2019 5:25 a.m.,davida.mikhail,165,2019-06-28 05:25:00
1034,"
Completed Lesson 7.
",06/28/2019 5:30 a.m.,thienan092,21,2019-06-28 05:30:00
1035,"
Hi all,
The link I presented,https://blog.openmined.org/federated-learning-of-a-rnn-on-raspberry-pis/
This is just a link I found on the internet, I read it today, that I wanted to share with you and I hope to understand how they have done to install pytorch + pysyft correctly.
",06/28/2019 5:36 a.m.,mcb_13,280,2019-06-28 05:36:00
1036,"
Completed and uploaded the source code: https://github.com/thienan092/60-Days-Of-Udacity/tree/master/Private%20Machine%20Learning%20with%20PATE
",06/28/2019 5:37 a.m.,thienan092,145,2019-06-28 05:37:00
1037,"
Day 1:
Took the Pledge
working on a Kaggle contest ( Recognizing Faces in the Wild )
starting to study more about pysyft
",06/28/2019 5:43 a.m.,h.elmogey,122,2019-06-28 05:43:00
1038,"
Day 1: Took the Pledge and Revisited lesson 3. I'm also part of a group now!
",06/28/2019 5:45 a.m.,gabi29,78,2019-06-28 05:45:00
1039,"
Day 1 #60daysofudacity:
1- Keep studying the federated learning section of the course
2 - Doing week 2 of the incredible MOOC (Learning how to learn) from Coursera
",06/28/2019 5:48 a.m.,saulo170,165,2019-06-28 05:48:00
1040,"
Feel free to share what the error is. You can also take advantage of the #tech_help channel or the channel for the lecture where you have errors. The people here respond in a time shorter than I would have imagined
 
I also encourage @mogunleye to join me in this challenge
",06/28/2019 5:49 a.m.,eazydammy,275,2019-06-28 05:49:00
1041,"
@mogunleye has joined the channel
",06/28/2019 5:52 a.m.,mogunleye,35,2019-06-28 05:52:00
1042,"
Day 1:
1) Took the pledge
2)  Studied the publication: Differentially Private Federated Learning: a client level perspective. This was done as part of the activities of #reading_paper_discuss channel. Paper link: https://arxiv.org/pdf/1712.07557.pdf
3) Joined a project group alongside: @george.christ1987, @prakhar.tripathi2205,  @ash3ax, @arkachkrbrty and @manishajhunjhunwala7#60daysofudacity
",06/28/2019 5:59 a.m.,mudeledimeji,397,2019-06-28 05:59:00
1043,"
Glad to have taken the #60daysofudacity pledge. I’ve started taking a look at the Face Detection Data Set. My objective is to use Pytorch to build a face-tracking model. First step, pre-process data. Only had enough time today to get started reading in the annotations. As they say, “the journey of a thousand miles begins with a single step.”
Thanks for the shoutout @d.pandey11585 ! Need this accountability in my life 
",06/28/2019 6:12 a.m.,jk5128,423,2019-06-28 06:12:00
1044,"
*DAY 1*
- Took the pledge
- Co-ordinated with @yemissi.kifouly for the  digest and preparing for tomorrow's *Quote of the Week* voting
- Create *Quote of the Week* calendar and updated moderator initiatives list
- Finish Deep Learning with PyTorch :bunny-tired-overworked: :bunny-stars:
Thank you for tagging me, @bharati.frnds@shivamraisharma@newinmunich and @minassouane
I encourage @julia.scheel to join in, if you'd like 
",06/28/2019 6:13 a.m.,mikaelaysanchez,427,2019-06-28 06:13:00
1045,"
Hi @casabiancadenny Challenge accepted 
",06/28/2019 6:24 a.m.,samuela.anastasi,41,2019-06-28 06:24:00
1046,"
6.27.19-*D1*
1. Prepared morning and evening edition of our daily BEE digest with @yemissi.kifouly@thiyagarajanravi22
2. Pledged to begin the challenge 
3. Applied to organize an OpenMIned Hacktavist meetup in Washington, D.C. :handshake:
4. Sent a post to our Facebook group about organizing an in-person or virtual meetup in D.C. :party_parrot:
5. Worked on transfer learning exercise and completed Lesson 2 :female-technologist:
6. I’d like to invite @yemissi.kifouly@thiyagarajanravi22@zgiwa3@cclinc2005@ellyanalinden@arkachkrbrty@davida.mikhail@sauravkumarsct@tmallikarjuna111@bhadreshpsavani@sankalpdayal5@smogal95@sauravkumarsct@aisha.jv70@dishingoyani1996 to join in the fun if you haven’t already! :celebrate:
",06/28/2019 6:26 a.m.,ltruncel,720,2019-06-28 06:26:00
1047,"
@zgiwa3 has joined the channel
",06/28/2019 6:26 a.m.,zgiwa3,32,2019-06-28 06:26:00
1048,"
I'm right here :man-raising-hand:
",06/28/2019 6:28 a.m.,davida.mikhail,35,2019-06-28 06:28:00
1049,"
Hello! My DAY 1 #60daysofudacity
Took the pledge 
I read articles written by our scholarship fellows @puneet29saini, @k.d.kwiecinski  and @santiago.marti67 that I am inviting to Join #60daysofudacity !
I Joined our Scholarship Linkedin Group https://www.linkedin.com/groups/12255139/
",06/28/2019 6:30 a.m.,tsmedia.rj,285,2019-06-28 06:30:00
1050,"
*DAY 1*:1)Took The Pledge   2)Read papers on object detection#60daysofudacity
",06/28/2019 6:31 a.m.,tushtgsingh.05,79,2019-06-28 06:31:00
1051,"
Cool @davida.mikhail! I can’t tell who’s already tagged but I figured it doesn’t hurt to say hi and encourage each other! 
",06/28/2019 6:31 a.m.,ltruncel,124,2019-06-28 06:31:00
1052,"
Thanks for tagging @ltruncel
 
Thanks for tagging @workwithpurpose
",06/28/2019 6:33 a.m.,ellyanalinden,68,2019-06-28 06:33:00
1053,"
Of course @ltruncel!
looking forward to tomorrow's tag! 
",06/28/2019 6:34 a.m.,davida.mikhail,58,2019-06-28 06:34:00
1054,"
You’re welcome @ellyanalinden! I’ll still plan to post in our 100daysofcode channel, so I’ll see you there too! 
",06/28/2019 6:34 a.m.,ltruncel,114,2019-06-28 06:34:00
1055,"
See you there!! :torch_heart_changing_slow:
",06/28/2019 6:35 a.m.,ellyanalinden,45,2019-06-28 06:35:00
1056,"
DAY 1:
1. Took the #60daysofudacity pledge
2. Took part #ama_sessions
3. Revised Lesson 3 - Introducing Differential Privacy and created parallel DBs
4. I encourage @ricardof.alonsor and @kichulee1998 to engage to the challenge too!
",06/28/2019 6:35 a.m.,samuela.anastasi,234,2019-06-28 06:35:00
1057,"
@ricardof.alonsor has joined the channel
",06/28/2019 6:35 a.m.,ricardof.alonsor,42,2019-06-28 06:35:00
1058,"
@kichulee1998 has joined the channel
",06/28/2019 6:35 a.m.,kichulee1998,38,2019-06-28 06:35:00
1059,"
I am there already ! thanks @ltruncel
",06/28/2019 6:38 a.m.,sauravkumarsct,39,2019-06-28 06:38:00
1060,"
@puneet29saini has joined the channel
",06/28/2019 6:39 a.m.,puneet29saini,39,2019-06-28 06:39:00
1061,"
@k.d.kwiecinski has joined the channel
",06/28/2019 6:39 a.m.,k.d.kwiecinski,40,2019-06-28 06:39:00
1062,"
I figured but wanted to say hi @sauravkumarsct!  Happy learning!
",06/28/2019 6:42 a.m.,ltruncel,66,2019-06-28 06:42:00
1063,"
@saminjay15 has joined the channel
",06/28/2019 6:46 a.m.,saminjay15,36,2019-06-28 06:46:00
1064,"
@ganshul34 has joined the channel
",06/28/2019 6:46 a.m.,ganshul34,35,2019-06-28 06:46:00
1065,"
DAY 1: Took the Pledge 
1. Took the #60daysofudacity pledge
2. Complete the Local and Global Differential Privacy Chapter
3. Took part in 3rd of Kaggle SQL Summer Camp
",06/28/2019 7:03 a.m.,ajay2012drsinghdo,169,2019-06-28 07:03:00
1066,"
#60daysofudacity
Day 1: :bananadance: :bananadance:
1. Took the pledge:party_parrot:
2. Looking forward to start the challenge coursework( I am already late ).
",06/28/2019 7:07 a.m.,artistritul1995,161,2019-06-28 07:07:00
1067,"
DAY 1: Took the Pledge 
1. Took the #60daysofudacity pledge
2. Complete the Local and Global Differential Privacy Chapter
3. Took part in 3rd of Kaggle SQL Summer Camp
",06/28/2019 7:12 a.m.,dakpri456,169,2019-06-28 07:12:00
1068,"
Hey @agbugbaijeoma. Dushyant here
",06/28/2019 7:17 a.m.,dushyantpathak6789,35,2019-06-28 07:17:00
1069,"
Day 1:
Took a #60daysofudacity Pledge
Completed Exercise 2
Took part in Google Firebase Roadshow
Being inspired by @bhadreshpsavani , Thanks mate.
",06/28/2019 7:20 a.m.,harmanbhatia101,148,2019-06-28 07:20:00
1070,"
Hi  @ltruncel
Thank you 
I am already here 
Happy learning !!
Stay Udacious
 
Welcome @harmanbhatia101 to the *60DaysofCode*,
Stay Udacious
Happy learning 
",06/28/2019 7:30 a.m.,bhadreshpsavani,157,2019-06-28 07:30:00
1071,"
Day 1:
1. Took the #60daysofudacity pledge
",06/28/2019 7:33 a.m.,gecafe1,44,2019-06-28 07:33:00
1072,"
You did nice work @manishajhunjhunwala7
",06/28/2019 7:34 a.m.,garg4.ag,41,2019-06-28 07:34:00
1073,"
*Day 1*
1. #60daysofudacity pledge taken.
2. Reviewed 3 videos of *Lesson 5: Introducing Local and Global Differential Privacy*
3. Implemented *Project 5: Local Differential Privacy*https://github.com/SuHamza/private-aiRepo for Udacity's Secure & Private AI courseLanguageJupyter NotebookLast updated9 minutes ago
",06/28/2019 7:47 a.m.,suzan.hamza,315,2019-06-28 07:47:00
1074,"
Day 1
1. Took pledge
2. Attended a Florida Funders event at the local cowork center.  I was a panelists and focused my questions on using machine learning to evolve the business model
",06/28/2019 7:51 a.m.,tracyeadams,185,2019-06-28 07:51:00
1075,"
Day 1: 1. #60daysofudacity pledge taken to spend an hour with the 'Secure and Private AI Challenge' coursework
 
2. Completed lesson 3 : Introduction to Differential Privacy and built a simple private database in Python
 
3. Read a research paper mentioned by Andrew Trask, the instructor. The link is here :  https://ieeexplore.ieee.org/document/4531148 (Robust De-anonymization of Large Sparse Datasets)We present a new class of statistical de- anonymization attacks against high-dimensional micro-data, such as individual preferences, recommendations, trans
",06/28/2019 7:56 a.m.,nagchaudhury_diya,562,2019-06-28 07:56:00
1076,"
Signed pledge. My *first* time doing this kind of challenge. So exciting to engage with the community. :bananadance:
 
Amazing. Practical applications are  loved in industry.
",06/28/2019 8:02 a.m.,alanvera01,176,2019-06-28 08:02:00
1077,"
Thanks @ltruncel. I joined already
",06/28/2019 8:05 a.m.,arkachkrbrty,36,2019-06-28 08:05:00
1078,"
Yes @ltruncel! Thanks for inviting! Yeah I made a progress yesterday! Wish you all the best!
",06/28/2019 8:06 a.m.,thiyagarajanravi22,94,2019-06-28 08:06:00
1079,"
Welcome to #60daysofudacity Dani Montes!
 
Hope we have a great experience learning together!
 
Welcome @tushtgsingh.05 to #60daysofudacity! Stay Udacious!
",06/28/2019 8:08 a.m.,nagchaudhury_diya,157,2019-06-28 08:08:00
1080,"
Day 1:
1. Took the #60daysofudacity pledge
2. Decide to reset my course progress and will make notes for the courses
Let’s push this forward guys
",06/28/2019 8:10 a.m.,sandrianta,147,2019-06-28 08:10:00
1081,"
Day 1
1. #60daysofudacity pledge.
2. Quick finishing all the theory part in this course.
",06/28/2019 8:12 a.m.,yarong.zhang,90,2019-06-28 08:12:00
1082,"
*Day 1:*
1. Took the #60daysofudacity pledge
2. Completed the final project in lesson 7. :the_horns::skin-tone-2:
3. Ready to start lesson 8!
",06/28/2019 8:17 a.m.,adityaas26,143,2019-06-28 08:17:00
1083,"
Thank you for the encouragement! :panda_dance:
",06/28/2019 8:17 a.m.,tariq.mahrukh98,48,2019-06-28 08:17:00
1084,"
Great work @adityaas26! Welcome to the #60daysofudacity challenge!
",06/28/2019 8:18 a.m.,nagchaudhury_diya,68,2019-06-28 08:18:00
1085,"
I want to endorse @geekykant@electric.blake@anna.kondrashoff@manideep2510@erinmoo@patrick.obot@sapkota053 to join the challenge. Happy learning:)
 
@sol.vriksh Thanks I have taken the pledge  I encourage @geekykant@electric.blake@anna.kondrashoff@manideep2510@erinmoo@patrick.obot@sapkota053 to join the challenge. Happy learning:)
",06/28/2019 8:22 a.m.,nabhu123,333,2019-06-28 08:22:00
1086,"
You go girl!! :party_parrot: :party_parrot:
",06/28/2019 8:36 a.m.,manishajhunjhunwala7,45,2019-06-28 08:36:00
1087,"
Day 1:
1. Took the #60daysofudacity pledge
2. Completed lesson 5.
",06/28/2019 8:38 a.m.,scchen17,67,2019-06-28 08:38:00
1088,"
Day 1:
1. Took the pledge.
2. Learning lesson 5.#60daysofudacity
",06/28/2019 8:51 a.m.,ferdib.bsmrstu,66,2019-06-28 08:51:00
1089,"
Day1:
1. Took the #60daysofudacity
2. Learnt about differntial privacy.
",06/28/2019 8:52 a.m.,singh.shubham0812,73,2019-06-28 08:52:00
1090,"
Day 1:
1. Took the #60daysofudacity pledge.
2. Learning lesson 2.
",06/28/2019 8:53 a.m.,vtvishwanathbhat,67,2019-06-28 08:53:00
1091,"
*Day 1:* I finished lesson 3, introducing differential privacy and summarized in a repo in my github.  https://github.com/rick1612/SecureAI-Course-Part3/tree/master
",06/28/2019 8:53 a.m.,r.pretelt16,166,2019-06-28 08:53:00
1092,"
Day 1: #60daysofudacity
1- Revising Lesson 2 ""Deep Learning with PyTorch
2- starting with lesson 3 on differential privacy
3- Exploring secure and private AI based projects ideas
",06/28/2019 8:54 a.m.,parulchopra586,180,2019-06-28 08:54:00
1093,"
Day 1:
1. Took the #60daysofudacity pledge
2. Working on a deep Bayesian Reinforcement Learning project.
3. Having conversation and planning with an awesome bunch of people for setting up a meetup in Bangladesh.
",06/28/2019 8:56 a.m.,intisarnaheen,213,2019-06-28 08:56:00
1094,"
Day 1:
1. Took the pledge of #60daysofudacity
2. Continue my progress of lesson 5
3. Talk with other peers to work collaboratively
",06/28/2019 9:01 a.m.,seeratpal91,132,2019-06-28 09:01:00
1095,"
Day 1:
- Took the #60daysofudacity
- I did some linear algebra exercises and read about tensors
- Read a Jupyter tutorial
- Reviewed lesson 2
",06/28/2019 9:04 a.m.,preriec,143,2019-06-28 09:04:00
1096,"
DAY 1: I accepted the challenge and continued learning lesson 2: Deep Learning with PyTorch modeling with the MNIST dataset.
I encourage @nunes.ma and @sophie713713 to follow this path!#60daysofudacity & #UdacityFacebookScholar #aiuio #saturdaysai #artificiellintelligens
Twitter, Instagram, Facebook or LinkedIn
",06/28/2019 9:04 a.m.,daviddavilahp,314,2019-06-28 09:04:00
1097,"
@nabhu123 thanks for mentioning!!
",06/28/2019 9:09 a.m.,erinmoo,35,2019-06-28 09:09:00
1098,"
Day 1:
1. Took the pledge of #60daysofudacity
2. Complete lesson 3
",06/28/2019 9:10 a.m.,sayvortana.itc,68,2019-06-28 09:10:00
1099,"
Just sign the pledge!
",06/28/2019 9:12 a.m.,rozamiera,23,2019-06-28 09:12:00
1100,"
Just amazing to see, how people are accepting the challenge and showing their commitment. Amazing guys. Just amazing. Keep it up.
Together we can learn better. 
",06/28/2019 9:13 a.m.,dhruv061,162,2019-06-28 09:13:00
1101,"
Day 1: revising pandas, matplotlib and numpy libraries
",06/28/2019 9:13 a.m.,rozamiera,56,2019-06-28 09:13:00
1102,"
I will try my best to put my advancement in my github https://github.com/rick1612 if someone wants to follow the same path, I can volunteer to check the work  when I can and encourage you to keep going, just tell me here and add me in github, or put your github profile hereFighting for the futureLocationBarranquilla ColombiaRepositories18Followers6
",06/28/2019 9:14 a.m.,r.pretelt16,352,2019-06-28 09:14:00
1103,"
@ewotawa I would like to!
",06/28/2019 9:14 a.m.,dishingoyani1996,27,2019-06-28 09:14:00
1104,"
*DAY 1:*
completed Lesson 2: section(13 - 16).
Having trouble with time management lately. I think this challenge will help me to stay committed.
I encourage @mhmohona and @kengying5 .
",06/28/2019 9:16 a.m.,jabertuhin,186,2019-06-28 09:16:00
1105,"
Day 1: Completed Lesson 1. Learnt basics too from free course.
",06/28/2019 9:19 a.m.,geekykant,64,2019-06-28 09:19:00
1106,"
Day 1: just made the pledge. I want to invite @annaunger78@mualth if you haven't joined:celebrate: :launch:  :hero:
",06/28/2019 9:24 a.m.,erinmoo,117,2019-06-28 09:24:00
1107,"
Day 1: complete Lesson 2 part 8: transfer learning
since I usually skip the videos, maybe it's time for me to rewatch them on day 2
",06/28/2019 9:26 a.m.,chocolate.coffee,133,2019-06-28 09:26:00
1108,"
Thanks @ltruncel I have done!
",06/28/2019 9:27 a.m.,dishingoyani1996,31,2019-06-28 09:27:00
1109,"
*DAY 1*
1. Finished one part of lesson 3 of Evaluation of Privacy Function
2. Participate in AMA sesion
3.Answering others questions
4.Motivating by Posting motivation post
",06/28/2019 9:35 a.m.,calincan2000,174,2019-06-28 09:35:00
1110,"
Welcome @dishingoyani1996 !
",06/28/2019 9:35 a.m.,ewotawa,29,2019-06-28 09:35:00
1111,"
Day 1
- Pledged to follow #60daysofudacity
- Review Lesson 4: Evaluating the Privacy of a Function
- Review questions in AMA sesion
",06/28/2019 9:36 a.m.,s.huang,133,2019-06-28 09:36:00
1112,"
Wow
",06/28/2019 9:37 a.m.,calincan2000,5,2019-06-28 09:37:00
1113,"
Day 2 :
a. Preparing notes for ch3 from the text for the reading group will update the repo on Monday
b. Reading self-attention paper by Vaswani et al. (Clarifying doubts from yesterday)https://arxiv.org/pdf/1803.02155.pdf
c. Answering questions on slack
",06/28/2019 9:37 a.m.,rishisridhar96,256,2019-06-28 09:37:00
1114,"
Day 1:
Just finished moving, so now I can focus more on completing course work rather than just answering questions in slack.
1) I completed a few more sections of deep learning with PyTorch.
2) I finished transferring my handwritten notes to a google doc as well as updated my notes with the most recent content I went over.  I plan to periodically share my notes with the community after I feel they are easy to follow for others.
3) Pledged to complete the #60daysofudacity, looking forward to the motivation it will bring!
",06/28/2019 9:39 a.m.,tanj35,528,2019-06-28 09:39:00
1115,"
Thank you for mentioning! ^_^
Its mid week going on, so after mid, I have to accept this challenge. 
",06/28/2019 9:40 a.m.,mhmohona,102,2019-06-28 09:40:00
1116,"
Day 1:
- Finished with first 3 sections of lesson: Differential Privacy in Deep Learning and currently bouncing my head on PATE analysis
- Also learnt about an architecture called BiTBCNN from a research paper that showed how to use it to determine if two code snippets are implementing the same algorithm irrespective of language. (I am trying to implement it in Pytorch as a side project)
",06/28/2019 9:44 a.m.,japkeerat21,392,2019-06-28 09:44:00
1117,"
Hi @tanj35 When you are ready to share your notes, please also fill the info to this form managed by @garg4.ag so that it would be easy for the community to find your noteshttps://forms.gle/Z7wMGazPjXHvnb329Hi Scholar's If you prepared notes of Particular Lesson do share at Particular Lesson You Need to add it somewhere like Github, Drive, Medium, etc If You have Common link add in Common link otherwise add Lesson wise You will get a copy of response so you can edit in future if you made more add here
",06/28/2019 9:45 a.m.,nabhu123,508,2019-06-28 09:45:00
1118,"
DAY 2: I started a new project which will take informal sentences like how we talk daily with your friends and family members. we do the same thing while writing the mail and the model gives formal translation of informal sentences which suits the format of an mail. I started this project with a group of 5 people from my Instagram page (https://instagram.com/learn.machinelearning).
",06/28/2019 9:57 a.m.,udaykiran.kondreddy,386,2019-06-28 09:57:00
1119,"
@dragomirescu200 thanks a ton
your planning is really helpful!!!
",06/28/2019 10:01 a.m.,oss71995,66,2019-06-28 10:01:00
1120,"
Day 1:
- Continuing to learn how to compute derivatives to implement gradient descent so that I understand the coursework better by following Andrew Ng's course.
- Encourage others on slack.
",06/28/2019 10:02 a.m.,abbiew,192,2019-06-28 10:02:00
